time_in_ms,raw_rot_vel,pwm_model,pwm_real
3354.24,34980.0,255.0,255.0
3359.96,34910.0,255.0,255.0
3365.68,34850.0,255.0,255.0
3371.41,35250.0,255.0,255.0
3377.12,35150.0,255.0,255.0
3382.84,35060.0,255.0,255.0
3388.56,34980.0,255.0,255.0
3394.28,34910.0,255.0,255.0
3400,34850.0,255.0,255.0
3405.72,35260.0,255.0,255.0
3411.44,35150.0,255.0,255.0
3417.16,35060.0,255.0,255.0
3422.88,34980.0,255.0,255.0
3428.6,34910.0,255.0,255.0
3434.32,35310.0,255.0,255.0
3440.04,35200.0,255.0,255.0
3445.76,35100.0,255.0,255.0
3451.48,35010.0,255.0,255.0
3457.2,34940.0,255.0,255.0
3462.92,34880.0,255.0,255.0
3468.64,35280.0,255.0,255.0
3474.36,35170.0,255.0,255.0
3480.08,35080.0,255.0,255.0
3485.8,34990.0,255.0,255.0
3491.52,34920.0,255.0,255.0
3497.24,34860.0,255.0,255.0
3502.96,35270.0,255.0,255.0
3508.68,35160.0,255.0,255.0
3514.4,35070.0,255.0,255.0
3520.12,34990.0,255.0,255.0
3525.84,34920.0,255.0,255.0
3531.56,35320.0,255.0,255.0
3537.28,35200.0,255.0,255.0
3543,35100.0,255.0,255.0
3548.72,35020.0,255.0,255.0
3554.44,34940.0,255.0,255.0
3560.16,34880.0,255.0,255.0
3565.89,35280.0,255.0,255.0
3571.6,35170.0,255.0,255.0
3577.32,35080.0,255.0,255.0
3583.04,35000.0,255.0,255.0
3588.76,34920.0,255.0,255.0
3594.48,35330.0,255.0,255.0
3600.2,35210.0,255.0,255.0
3605.92,35110.0,255.0,255.0
3611.64,35020.0,255.0,255.0
3617.36,34950.0,255.0,255.0
3623.08,34880.0,255.0,255.0
3628.8,35290.0,255.0,255.0
3634.52,35180.0,255.0,255.0
3640.24,35080.0,255.0,255.0
3645.96,35000.0,255.0,255.0
3651.68,34920.0,255.0,255.0
3657.4,35330.0,255.0,255.0
3663.12,35210.0,255.0,255.0
3668.84,35110.0,255.0,255.0
3674.56,35020.0,255.0,255.0
3680.28,34950.0,255.0,255.0
3686,34880.0,255.0,255.0
3691.72,35290.0,255.0,255.0
3697.44,35180.0,255.0,255.0
3703.16,35080.0,255.0,255.0
3708.88,35000.0,255.0,255.0
3714.6,34930.0,255.0,255.0
3720.32,35320.0,255.0,255.0
3726.04,35210.0,255.0,255.0
3731.76,35110.0,255.0,255.0
3737.48,35020.0,255.0,255.0
3743.2,34950.0,255.0,255.0
3748.92,34880.0,255.0,255.0
3754.64,35290.0,255.0,255.0
3760.36,35180.0,255.0,255.0
3766.08,35080.0,255.0,255.0
3771.8,35000.0,255.0,255.0
3777.52,34930.0,255.0,255.0
3783.25,35320.0,255.0,255.0
3788.96,35210.0,255.0,255.0
3794.68,35110.0,255.0,255.0
3800.4,35020.0,255.0,255.0
3806.12,34950.0,255.0,255.0
3811.84,34880.0,255.0,255.0
3817.56,35290.0,255.0,255.0
3823.28,35180.0,255.0,255.0
3829,35080.0,255.0,255.0
3834.72,35000.0,255.0,255.0
3840.44,34930.0,255.0,255.0
3846.16,35320.0,255.0,255.0
3851.88,35210.0,255.0,255.0
3857.6,35110.0,255.0,255.0
3863.32,35020.0,255.0,255.0
3869.04,34950.0,255.0,255.0
3874.76,34880.0,255.0,255.0
3880.48,35290.0,255.0,255.0
3886.2,35180.0,255.0,255.0
3891.92,35080.0,255.0,255.0
3897.64,35000.0,255.0,255.0
3903.36,34930.0,255.0,255.0
3909.08,34860.0,255.0,255.0
3914.8,35270.0,255.0,255.0
3920.52,35160.0,255.0,255.0
3926.24,35070.0,255.0,255.0
3931.96,34990.0,255.0,255.0
3937.68,34920.0,255.0,255.0
3943.41,35310.0,255.0,255.0
3949.12,35200.0,255.0,255.0
3954.84,35100.0,255.0,255.0
3960.56,35020.0,255.0,255.0
3966.28,34940.0,255.0,255.0
3972,34880.0,255.0,255.0
3977.72,35290.0,255.0,255.0
3983.44,35170.0,255.0,255.0
3989.16,35080.0,255.0,255.0
3994.88,35000.0,255.0,255.0
4000.6,34920.0,255.0,255.0
